datetime,speed,power,nwpdb,pluswind,rnn_preds
2018-07-11 22:00:00,1.5833389234419168,0,0.0,0.0,0.0
2018-07-11 23:00:00,1.6403538134818818,0,0.0,0.0,0.0
2018-07-12 00:00:00,2.1036611740877698,0,0.0,0.0,0.0
2018-07-12 01:00:00,2.3246430990682567,0,0.0,0.0,0.0
2018-07-12 02:00:00,2.142373136422358,0,0.0,0.0,0.0
2018-07-12 03:00:00,3.141667131851548,0,0.0,1.902728589,0.0
2018-07-12 04:00:00,3.0941358483657173,1,0.174779652,1.756420485,0.0
2018-07-12 05:00:00,1.5678087254867576,0,0.0,0.0,0.0
2018-07-12 06:00:00,1.7022622404325736,0,0.0,0.0,0.0
2018-07-12 07:00:00,2.4357238383248783,0,0.0,0.0,0.0
2018-07-12 08:00:00,2.9162960114647283,0,0.0,1.247512196,0.0
2018-07-12 09:00:00,3.16933421453876,0,0.0,1.989992571,0.0
2018-07-12 10:00:00,1.966396153419871,2,0.0,0.0,0.0
2018-07-12 11:00:00,2.8067141129305373,0,0.0,0.961401273,0.0
2018-07-12 12:00:00,0.7215570660430648,0,0.0,0.0,0.0
2018-07-12 13:00:00,2.073154626749459,0,0.0,0.0,0.0
2018-07-12 14:00:00,3.297067100155227,0,0.0,2.413489038,0.0
2018-07-12 15:00:00,2.356445889476979,0,0.0,0.0,0.0
2018-07-12 16:00:00,5.397041475016693,0,0.0,0.0,0.0
2018-07-12 17:00:00,0.9242478193288046,0,0.0,0.0,0.0
2018-07-12 18:00:00,0.0855187065039411,0,0.0,0.0,0.0
2018-07-12 19:00:00,0.5686712515614031,0,0.0,0.0,0.0
2018-07-12 20:00:00,1.1704435025020972,0,0.0,0.0,0.0
2018-07-12 21:00:00,1.6210242137999908,1,0.0,0.0,0.0
2018-07-12 22:00:00,1.0434439770807769,0,0.0,0.0,0.0
2018-07-12 23:00:00,0.6729913141198919,0,0.0,0.0,0.0
2018-07-13 00:00:00,0.958722005838722,0,0.0,0.0,0.0
2018-07-13 01:00:00,0.1551838756917569,0,0.0,0.0,0.0
2018-07-13 02:00:00,1.0588082807520276,0,0.0,0.0,0.0
2018-07-13 03:00:00,2.1992957843611416,0,0.0,0.0,0.0
2018-07-13 04:00:00,2.7013299567641864,0,0.0,0.0,0.0
2018-07-13 05:00:00,2.8267796893371675,0,0.0,1.01238948,0.0
2018-07-13 06:00:00,2.713893638749753,1,0.0,0.0,0.0
2018-07-13 07:00:00,2.9818968274553836,2,0.0,1.428427016,0.0
2018-07-13 08:00:00,3.35628134741895,0,0.079822158,2.621595338,0.0
2018-07-13 09:00:00,3.1925717136225114,0,0.356081014,2.064497591,0.0
2018-07-13 10:00:00,4.156563332000649,6,0.003576178,6.227297161,0.0
2018-07-13 11:00:00,4.290838107172674,7,1.195305803,6.98844367,0.0
2018-07-13 12:00:00,4.834722131092034,5,1.041826863,10.58954107,0.0
2018-07-13 13:00:00,5.007105884848607,9,2.115500872,11.91632386,1.2959712
2018-07-13 14:00:00,5.302713666351291,11,2.324729219,14.41445913,4.4537168
2018-07-13 15:00:00,4.611887771178735,11,4.692839848,9.009893308,3.3562489
2018-07-13 16:00:00,4.273964661715164,7,3.789666345,6.89014118,0.01948549
2018-07-13 17:00:00,4.333608052022931,4,4.629084984,7.241085269,0.0
2018-07-13 18:00:00,4.657742533573789,4,6.201815303,9.322786351,0.0
2018-07-13 19:00:00,4.88434231937307,7,10.33813067,10.96190242,1.619211
2018-07-13 20:00:00,4.843115753211609,11,11.96212629,10.65199239,3.802638
2018-07-13 21:00:00,5.193203179675287,16,11.50733769,13.45540949,6.1737857
2018-07-13 22:00:00,5.032292036993538,15,18.4250111,12.1180527,5.7526264
2018-07-13 23:00:00,5.3636880988969216,23,11.76947406,14.96595663,7.7202106
2018-07-14 00:00:00,6.089179324667093,28,19.23585247,22.5395235,12.599931
2018-07-14 01:00:00,5.658404836387148,35,24.1331853,17.81295856,15.985174
2018-07-14 02:00:00,4.442481670544917,42,18.77802243,7.90697746,10.120297
2018-07-14 03:00:00,4.4455675186975405,49,9.262687354,7.926333948,4.0833063
2018-07-14 04:00:00,4.965402742646626,44,6.003403515,11.58675747,3.5382931
2018-07-14 05:00:00,4.809960603602322,33,5.380808745,10.40657295,4.1027694
2018-07-14 06:00:00,5.585426485893147,38,3.222556295,17.07952979,8.1794815
2018-07-14 07:00:00,8.609164584651527,65,10.54775786,66.21981184,27.3473
2018-07-14 08:00:00,10.307117474285423,73,41.65530273,99.79832609,54.01937
2018-07-14 09:00:00,8.273926782523484,46,38.86792109,58.62886536,63.84257
2018-07-14 10:00:00,8.548905674564594,80,14.58855163,64.8104892,64.387505
2018-07-14 11:00:00,7.220728190125756,91,10.55458385,38.50436678,55.170128
2018-07-14 12:00:00,6.0422149375616545,84,6.286124914,21.99036713,40.147903
2018-07-14 13:00:00,5.172991031055262,65,5.428515585,13.28276549,24.756735
2018-07-14 14:00:00,5.31900453270982,20,5.405959367,14.56057061,18.046919
2018-07-14 15:00:00,4.659183360439122,0,12.23074653,9.332718738,14.939855
2018-07-14 16:00:00,3.639755921908358,1,11.4339291,3.725581404,7.7127223
2018-07-14 17:00:00,1.931695421569128,0,2.544427749,0.0,0.0
2018-07-14 18:00:00,2.275882393317442,0,0.0,0.0,0.0
