hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
89,2020-01-09 17:00:00,58.952,33.90416666666667,1.3515859678341582,158.952,58.952,0.0,100.0,100.0,618.9691818181818,437.151,0.0,-0.0,1155.359407
90,2020-01-09 18:00:00,54.618,18.1575,0.7238467900488748,0.0,0.0,54.618,0.0,-54.618,437.151,491.769,0.0,1.0,1127.740434
91,2020-01-09 19:00:00,124.169,30.50500000000001,1.2160785532392089,124.169,124.169,0.0,0.0,0.0,491.769,491.769,0.0,-0.0,1113.009591
92,2020-01-09 20:00:00,184.268,27.615,1.1008690132011387,184.268,184.268,0.0,0.0,0.0,491.769,491.769,0.0,-0.0,1099.292915
93,2020-01-09 21:00:00,187.242,16.340000000000003,0.6513923474816806,87.24199999999996,87.24199999999996,100.0,0.0,-100.0,491.769,591.769,2.8421709430404014e-14,1.0,1094.035107
94,2020-01-09 22:00:00,182.942,25.36916666666667,1.011339108240759,182.942,182.942,0.0,0.0,0.0,591.769,591.769,0.0,0.0,1110.382187
95,2020-01-09 23:00:00,159.197,16.854166666666664,0.6718895465022943,59.197,59.197,100.0,0.0,-100.0,591.769,691.769,0.0,1.0,1183.945204
96,2020-01-10 00:00:00,124.937,28.92083333333333,1.152925918979586,124.937,124.937,0.0,0.0,0.0,691.769,691.769,0.0,-0.0,1205.885065
97,2020-01-10 01:00:00,138.28,17.604166666666664,0.701788216062347,38.28,38.28,100.0,0.0,-100.0,691.769,791.769,0.0,1.0,1201.91569
98,2020-01-10 02:00:00,172.149,16.003333333333334,0.6379711669236124,72.149,72.149,100.0,0.0,-100.0,791.769,891.769,0.0,1.0,1165.12106
99,2020-01-10 03:00:00,122.36,15.6175,0.6225899624721631,22.36,22.36,100.0,0.0,-100.0,891.769,991.769,0.0,1.0,1116.325743
100,2020-01-10 04:00:00,45.852,26.198333333333338,1.044393748476595,45.852,45.852,0.0,0.0,0.0,991.769,991.769,0.0,-0.0,1066.069316
101,2020-01-10 05:00:00,14.458,23.146666666666665,0.922739384111136,14.458,14.458,0.0,0.0,0.0,991.769,991.769,0.0,-0.0,1052.570537
102,2020-01-10 06:00:00,8.231,16.380833333333335,0.6530201639355057,0.0,0.0,8.231,0.0,-8.231,991.769,1000.0,0.0,1.0,1049.355122
103,2020-01-10 07:00:00,13.226,41.8375,1.667847450291604,113.226,13.226,0.0,100.0,100.0,1000.0,818.1818181818182,0.0,-0.0,1057.770975
104,2020-01-10 08:00:00,18.599,15.9175,0.6345494302961842,0.0,0.0,18.599,0.0,-18.599,818.1818181818182,836.7808181818183,0.0,1.0,1070.605714
105,2020-01-10 09:00:00,34.946,16.046666666666667,0.6396986456093043,0.0,0.0,34.946,0.0,-34.946,836.7808181818183,871.7268181818183,0.0,1.0,1100.193713
106,2020-01-10 10:00:00,92.895,23.521666666666665,0.9376887188911625,92.895,92.895,0.0,0.0,0.0,871.7268181818183,871.7268181818183,0.0,-0.0,1168.971559
107,2020-01-10 11:00:00,78.938,14.724166666666669,0.5869773249517449,0.0,0.0,78.938,0.0,-78.938,871.7268181818183,950.6648181818184,0.0,1.0,1292.7106
108,2020-01-10 12:00:00,59.051,24.82166666666667,0.9895130794619204,59.051,59.051,0.0,0.0,0.0,950.6648181818184,950.6648181818184,0.0,-0.0,1346.128807
109,2020-01-10 13:00:00,41.168,28.746666666666663,1.1459827834928624,41.168,41.168,0.0,0.0,0.0,950.6648181818184,950.6648181818184,0.0,-0.0,1306.716888
110,2020-01-10 14:00:00,57.515,19.171666666666667,0.7642764354428571,52.72163636363656,52.72163636363656,4.793363636363438,0.0,-4.793363636363438,950.6648181818184,955.4581818181816,0.0,1.0,1280.52254
