power_generated,price,optimal_release,optimal_direct,optimal_charge,optimal_discharge_before_rte,optimal_storage,baseload_release,optimal_curtailment
235.172,0.5676950318814911,235.172,235.172,0.0,-0.0,0.0,118.99310714285714,0.0
234.318,0.555475110745998,234.318,234.318,0.0,0.0,0.0,118.99310714285714,0.0
234.829,0.5583972658001375,234.829,234.829,0.0,0.0,-0.0,118.99310714285714,0.0
215.283,0.30930568497302263,215.283,215.283,-0.0,0.0,-0.0,118.99310714285714,0.0
170.737,0.09914665481671754,170.737,170.737,0.0,-0.0,0.0,118.99310714285714,0.0
25.647,-0.009415832952227714,0.0,0.0,0.0,0.0,0.0,80.647,25.647
197.28,-0.006759328357555318,0.0,0.0,86.059,0.0,-0.0,118.99310714285714,111.221
207.941,0.017975681090616546,249.0,194.0,13.941000000000003,100.0,86.059,118.99310714285714,0.0
233.888,-0.010537468225533838,0.0,0.0,0.0,0.0,0.0,118.99310714285714,233.888
201.68,-0.019038282928485504,0.0,0.0,0.0,0.0,0.0,118.99310714285714,201.68
174.494,-0.08232212571712572,0.0,0.0,0.0,0.0,0.0,118.99310714285714,174.494
159.373,-0.11428873100635019,0.0,0.0,0.0,0.0,0.0,118.99310714285714,159.373
158.352,-0.16792060710101403,0.0,0.0,100.0,0.0,0.0,118.99310714285714,58.352000000000004
164.02,-0.10502048164271541,0.0,0.0,100.0,0.0,100.0,118.99310714285714,64.02000000000001
152.47,-0.040585486863050496,0.0,0.0,100.0,0.0,200.0,118.99310714285714,52.47
115.641,-0.012013304111462945,0.0,0.0,100.0,0.0,300.0,118.99310714285714,15.641000000000005
85.228,0.020661702403007527,85.228,85.228,0.0,-0.0,400.0,118.99310714285714,0.0
19.81,0.2545816903227713,19.81,19.81,-0.0,0.0,400.0,74.81,0.0
12.741,0.5411299859347671,12.741,12.741,0.0,0.0,400.0,67.74100000000001,0.0
14.994,0.5698497522749476,14.994,14.994,0.0,0.0,400.0,69.994,0.0
8.364,0.5657764452297832,8.364,8.364,0.0,0.0,400.0,26.246785714285704,0.0
2.116,0.5720635061038413,14.940350000000004,2.116,0.0,23.317000000000007,400.0,2.116,0.0
3.97,0.5628838068933621,3.97,3.97,0.0,0.0,376.683,3.97,0.0
13.354,0.5609947369593729,13.354,13.354,0.0,0.0,376.683,13.354,0.0
20.033,0.4318590969405759,20.033,20.033,0.0,0.0,376.683,20.033,0.0
23.317,0.07178465749159187,0.0,0.0,23.317,0.0,376.683,23.317,0.0
28.885,0.5070381769698046,28.885,28.885,0.0,0.0,400.0,28.885,0.0
35.281,0.6724203463470205,90.281,35.281,0.0,100.0,400.0,35.281,0.0
38.688,0.6707378934370615,93.68800000000002,38.688,0.0,100.0,300.0,38.688,0.0
60.7,0.6688193067853536,115.70000000000002,60.7,0.0,100.0,200.0,60.7,0.0
76.996,0.6350521817152954,76.996,76.996,0.0,-0.0,100.0,76.996,0.0
82.796,0.6243671299011688,82.796,82.796,0.0,0.0,100.0,82.796,0.0
103.813,0.6401585738806105,158.81300000000002,103.813,0.0,100.0,100.0,103.813,0.0
