Date,Time,Power
20180218,1000,129.3
20180218,1100,124.099
20180218,1200,148.723
20180218,1300,160.167
20180218,1400,177.922
20180218,1500,217.623
20180218,1600,228.871
20180218,1700,230.136
20180218,1800,229.465
20180218,1900,230.291
20180218,2000,230.346
20180218,2100,230.344
20180218,2200,230.095
20180218,2300,230.111
20180219,0,230.293
20180219,100,228.89
20180219,200,215.978
20180219,300,167.035
20180219,400,128.853
20180219,500,104.201
20180219,600,129.498
20180219,700,137.956
20180219,800,135.585
20180219,900,172.641
20180219,1000,182.695
20180219,1100,177.127
20180219,1200,173.715
20180219,1300,146.553
20180219,1400,168.209
20180219,1500,176.048
20180219,1600,167.392
20180219,1700,153.598
20180219,1800,183.485
20180219,1900,229.302
20180219,2000,230.358
20180219,2100,230.342
20180219,2200,230.154
20180219,2300,229.988
20180220,0,229.21
20180220,100,229.926
20180220,200,229.153
20180220,300,230.234
20180220,400,214.145
20180220,500,170.714
20180220,600,149.612
20180220,700,133.849
20180220,800,108.109
20180220,900,49.815
20180220,1000,53.633
20180220,1100,57.057
20180220,1200,36.113
20180220,1300,13.056
20180220,1400,5.357
20180220,1500,0.811
20180220,1600,0.026
20180220,1700,4.485
20180220,1800,148.396
20180220,1900,150.662
20180220,2000,165.154
20180220,2100,147.023
20180220,2200,164.639
20180220,2300,176.412
20180221,0,182.374
20180221,100,182.741
20180221,200,183.371
20180221,300,183.558
20180221,400,183.748
20180221,500,183.749
20180221,600,183.672
20180221,700,206.733
20180221,800,203.073
20180221,900,202.26
20180221,1000,206.914
20180221,1100,194.543
20180221,1200,162.384
20180221,1300,130.249
20180221,1400,111.268
20180221,1500,70.393
20180221,1600,50.284
20180221,1700,40.901
20180221,1800,48.446
20180221,1900,38.527
20180221,2000,39.774
20180221,2100,25.407
20180221,2200,10.033
20180221,2300,5.757
20180222,0,5.524
20180222,100,7.857
20180222,200,4.628
20180222,300,2.357
20180222,400,2.366
20180222,500,5.267
20180222,600,5.448
20180222,700,3.169
20180222,800,1.414
20180222,900,1.278
20180222,1000,0.23
20180222,1100,0
20180222,1200,0
20180222,1300,0
20180222,1400,0
20180222,1500,0
20180222,1600,0
20180222,1700,0
20180222,1800,1.64
20180222,1900,5.819
20180222,2000,13.972
20180222,2100,38.409
20180222,2200,53.051
20180222,2300,66.018
20180223,0,86.357
20180223,100,82.143
20180223,200,67.997
20180223,300,49.322
20180223,400,23.463
20180223,500,7.083
20180223,600,1.17
20180223,700,0.039
20180223,800,0
20180223,900,0
20180223,1000,0
20180223,1100,0.039
20180223,1200,0
20180223,1300,0
20180223,1400,0.278
20180223,1500,0.153
20180223,1600,0
20180223,1700,0.001
20180223,1800,0.845
20180223,1900,4.282
20180223,2000,19.291
20180223,2100,18.333
20180223,2200,8.398
20180223,2300,5.149
20180224,0,4.791
20180224,100,1.852
20180224,200,2.993
20180224,300,8.298
20180224,400,3.837
20180224,500,12.196
20180224,600,35.218
20180224,700,35.056
20180224,800,37.949
20180224,900,52.326
20180224,1000,67.552
20180224,1100,45.407
20180224,1200,33.769
20180224,1300,61.935
20180224,1400,134.841
20180224,1500,145.394
20180224,1600,20.171
20180224,1700,18.341
20180224,1800,8.669
20180224,1900,107.325
20180224,2000,107.34
20180224,2100,61.556
20180224,2200,48.541
20180224,2300,29.106
20180225,0,2.733
20180225,100,0
20180225,200,0
20180225,300,0.066
20180225,400,5.952
20180225,500,23.49
20180225,600,40.824
20180225,700,54.606
20180225,800,70.489
20180225,900,70.908
20180225,1000,18.073
20180225,1100,34.554
20180225,1200,48.534
20180225,1300,69.96
20180225,1400,78.221
20180225,1500,53.644
20180225,1600,72.477
20180225,1700,139.686
