gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2018080809,1.8136162395731803,5.418769221758802,3.597875374898584,1.074050633664558,1.7358343765503177,5.186370571943812,3.4435707080802316,0.0,0.0,0.0,0.1599985485050519,0.1385121687137012,0.1288163169037421,0.03671425777600512,0.030421177287673018,0.028291694877535904
2018080810,3.1759193731216424,5.691347594134272,5.205367601002817,1.0782041388931318,3.043624727397267,5.454271420213584,4.988535187539204,0.020791907083044237,0.016602903700454474,0.01544070044142266,0.1876579734277939,0.1634484582450868,0.15200706616793072,0.14019814953149856,0.12167991618418328,0.11316232205129044
2018080811,4.237862003850608,6.100249922178194,5.559209689943489,1.0823576441217058,4.06653995881294,5.853638000657663,5.334470146275254,0.06909007459862715,0.05938352867668839,0.0552266816693202,0.2343900851531815,0.20543477845958402,0.19105434396741314,0.17391102567097172,0.15198627315499902,0.1413472340341491
2018080812,4.423115206653796,6.529302041474871,6.119195348500771,1.0865111493502797,4.249726205025111,6.27334914189848,5.87931889883214,0.08050155458453712,0.06979194361176955,0.06490650755894567,0.29061901054751127,0.2561596952253835,0.23822851655960664,0.23671375291196672,0.2083396148128187,0.1937558417759214
2018080813,4.565866345140364,6.797672206137396,6.027693803946082,1.0888068034832223,4.389968865410709,6.535795637989378,5.7954802285696045,0.08997180408413419,0.07838794241632607,0.07290078644718324,0.3297732631540955,0.29152934260550034,0.2711222886231153,0.22562326791371334,0.19894968352685627,0.18502320567997632
2018080814,4.818349255999399,5.9931788603616125,4.91533517574573,1.0911024576161652,4.635978624771624,5.766341876624035,4.729293705717234,0.10823353044671014,0.09484599483973932,0.08820677520095756,0.22152598112422894,0.19574886759480403,0.18204644686316773,0.11578134859960443,0.10156652826163759,0.09445687128332295
2018080815,4.167190895490011,4.726906340273449,5.467104156569049,1.0933981117491078,4.012276054032396,4.551184141638162,5.263865189387641,0.06498961546473825,0.056472972234901775,0.05251986417845865,0.1013912289119896,0.08896988285432461,0.08274199105452189,0.16470657860876203,0.14546777778280529,0.1352850333380089
2018080816,3.35829089436579,4.322580256256325,4.60813568055343,1.083709081829263,3.2238675187681447,4.149558964291252,4.4236843709807,0.027179396290706537,0.022400827785835187,0.02083276984082672,0.0741880288078407,0.06398784400022373,0.05950869492020806,0.09289252406970472,0.08053812559042361,0.07490045679909396
2018080817,3.009046322275988,3.644138074351196,3.4209208118383367,1.0740200519094183,2.8799678556276147,3.4878162020656207,3.2741742464402983,0.015566327878593134,0.011895446703865886,0.011062765434595273,0.038710535755789977,0.032168820632865414,0.02991700318856483,0.029543992671648756,0.02414242379625242,0.022452454130514752
2018080818,2.162350811704946,2.6081919178044344,2.431583703436001,1.0643310219895734,2.0633506112475555,2.488779507340661,2.3202570524753816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080819,1.3683832713443984,1.5591178239931032,1.9982753109090896,1.0607115655080634,1.304251950108827,1.486047443706759,1.9046231605469206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080820,1.3981278674390851,0.6307780996713779,1.7570512970407697,1.0570921090265533,1.3310850515432129,0.6005311237028091,1.6727974391709064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080821,1.592991267657793,0.2475866057072556,2.0712321656926496,1.0534726525450433,1.51487147387622,0.23544503596132188,1.9696595877741434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080822,1.8722699716198028,0.8228930759885501,2.019913609686476,1.0512676643167345,1.7792113666917944,0.7819923069663557,1.919516580709988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080823,1.7601749593328595,1.2803776083394247,2.090294060658823,1.0490626760884254,1.6715176009197925,1.2158869189765682,1.9850091009211985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080900,1.5902598761615148,1.9607715515710884,1.2077901599332568,1.0468576878601166,1.5091020906136914,1.8607049653004324,1.1461514452451684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018080901,1.6339220549915725,3.166152207222955,1.1561979341217583,1.047957823740744,1.5510789603159851,3.0056219993963373,1.0975764015782972,0.0,0.0,0.0,0.020470189640622527,0.0154649430892555,0.014382397073007615,0.0,0.0,0.0
2018080902,2.281656094603872,4.713870757421055,0.5104269468089938,1.0490579596213712,2.1667292706514503,4.476433487205862,0.4847167847932436,0.0,0.0,0.0,0.10043718455859096,0.08396844272848014,0.07809065173748653,0.0,0.0,0.0
2018080903,2.9499343904495245,5.856657029619408,1.477364201524927,1.0501580955019985,2.8023253506784207,5.563601182950536,1.403439740057136,0.013847468889945258,0.00982555333149815,0.009137764598293277,0.20577495558214176,0.17435757862998247,0.16215254812588367,0.0,0.0,0.0
2018080904,3.328130550263821,6.5647145468180925,5.553278329941789,1.0531930913506498,3.1646400842786546,6.242230730720851,5.280480118394607,0.026072320547481098,0.020420563134750713,0.01899112371531816,0.29560549919946366,0.2521562793388683,0.2345053397851475,0.17330900711665032,0.14698608785656342,0.13669706170660398
2018080905,3.307242666805528,7.144820554490232,6.753946517145007,1.0562280871993013,3.1477961747661607,6.800359416183557,6.428329927110975,0.025317536819263076,0.019871025839216738,0.018480054030471565,0.3852282513091556,0.3301814174505815,0.30706871822904075,0.323177255057161,0.27669557691533675,0.2573268865312632
